pathway,GO
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS,GO:0045717
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,GO:0045922
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION,GO:0046322
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT,GO:2000192
GOBP_NEGATIVE_REGULATION_OF_FEEDING_BEHAVIOR,GO:2000252
GOBP_NEGATIVE_REGULATION_OF_FIBRINOLYSIS,GO:0051918
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS,GO:2000270
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_PRODUCTION,GO:0090272
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0040037
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_MIGRATION,GO:0010764
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION,GO:0048147
GOBP_NEGATIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY,GO:0051490
GOBP_NEGATIVE_REGULATION_OF_G0_TO_G1_TRANSITION,GO:0070317
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO:0045744
GOBP_NEGATIVE_REGULATION_OF_GASTRIC_ACID_SECRETION,GO:0060455
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,GO:0010629
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,GO:0045814
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS,GO:0034351
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,GO:0045686
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_MIGRATION,GO:1903976
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION,GO:0060253
GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS,GO:0014014
GOBP_NEGATIVE_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS,GO:0031944
GOBP_NEGATIVE_REGULATION_OF_GLUCONEOGENESIS,GO:0045721
GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT,GO:0046325
GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,GO:0010829
GOBP_NEGATIVE_REGULATION_OF_GLUTAMATE_SECRETION,GO:0014050
GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS,GO:0070874
GOBP_NEGATIVE_REGULATION_OF_GLYCOLYTIC_PROCESS,GO:0045820
GOBP_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,GO:1903019
GOBP_NEGATIVE_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,GO:0042997
GOBP_NEGATIVE_REGULATION_OF_GONADOTROPIN_SECRETION,GO:0032277
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS,GO:0071623
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION,GO:0030853
GOBP_NEGATIVE_REGULATION_OF_GROWTH,GO:0045926
GOBP_NEGATIVE_REGULATION_OF_GTPASE_ACTIVITY,GO:0034260
GOBP_NEGATIVE_REGULATION_OF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,GO:1905098
GOBP_NEGATIVE_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT,GO:0051799
GOBP_NEGATIVE_REGULATION_OF_HEART_RATE,GO:0010459
GOBP_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY,GO:0051097
GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,GO:1901533
GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,GO:1902037
GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS,GO:1903707
GOBP_NEGATIVE_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS,GO:1903944
GOBP_NEGATIVE_REGULATION_OF_HEXOKINASE_ACTIVITY,GO:1903300
GOBP_NEGATIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,GO:1901842
GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING,GO:0035331
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION,GO:0031064
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K27_METHYLATION,GO:0061086
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION,GO:0051572
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION,GO:0051573
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_TRIMETHYLATION,GO:1900113
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H4_ACETYLATION,GO:0090241
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,GO:0031061
GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION,GO:0031057
GOBP_NEGATIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,GO:0034111
GOBP_NEGATIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS,GO:0032353
GOBP_NEGATIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS,GO:0032351
GOBP_NEGATIVE_REGULATION_OF_HORMONE_SECRETION,GO:0046888
GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,GO:0002921
GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,GO:0002924
GOBP_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH,GO:1901299
GOBP_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,GO:0010727
GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY,GO:0051346
GOBP_NEGATIVE_REGULATION_OF_HYPOXIA_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:1903298
GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,GO:0043124
GOBP_NEGATIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION,GO:0033087
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,GO:0002698
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,GO:0050777
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO:0002683
GOBP_NEGATIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION,GO:0002638
GOBP_NEGATIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY,GO:0090084
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,GO:0050728
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GO:0002862
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,GO:0045824
GOBP_NEGATIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0043569
GOBP_NEGATIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS,GO:0061179
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION,GO:0032687
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,GO:0032688
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION,GO:0032689
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION,GO:0032693
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,GO:0032695
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_13_PRODUCTION,GO:0032696
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION,GO:0032700
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION,GO:0032701
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_ALPHA_PRODUCTION,GO:0032690
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION,GO:0032691
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,GO:2000660
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GO:0032692
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_21_PRODUCTION,GO:0032705
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,GO:0032703
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,GO:0032713
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_5_PRODUCTION,GO:0032714
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY,GO:0070104
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GO:0032715
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GO:0032717
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0033147
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,GO:0090317
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,GO:1902532
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,GO:0033144
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:0032387
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:2001243
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,GO:1902254
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,GO:1902230
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS,GO:1902219
GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT,GO:0034766
GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0032413
GOBP_NEGATIVE_REGULATION_OF_ION_TRANSPORT,GO:0043271
GOBP_NEGATIVE_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903895
GOBP_NEGATIVE_REGULATION_OF_ISOTYPE_SWITCHING,GO:0045829
GOBP_NEGATIVE_REGULATION_OF_JNK_CASCADE,GO:0046329
GOBP_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,GO:0043508
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,GO:0045617
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION,GO:0010839
GOBP_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,GO:0090185
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,GO:0033673
GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,GO:0010593
GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,GO:1902744
GOBP_NEGATIVE_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION,GO:1902747
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,GO:1904995
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,GO:2000107
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903038
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,GO:0002689
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION,GO:0043301
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,GO:0002704
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,GO:0002686
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GO:0070664
GOBP_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY,GO:0060192
GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,GO:0051055
GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS,GO:0050995
GOBP_NEGATIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY,GO:0090219
GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION,GO:1905953
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,GO:0045833
GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE,GO:0010888
GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT,GO:0032369
GOBP_NEGATIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,GO:0031665
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY,GO:0051005
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS,GO:0050748
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010985
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,GO:0040013
GOBP_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,GO:1900272
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010989
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_ACTIVITY,GO:1905598
GOBP_NEGATIVE_REGULATION_OF_LYASE_ACTIVITY,GO:0051350
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,GO:0051250
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,GO:0070229
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO:0045620
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,GO:0002707
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION,GO:2000402
GOBP_NEGATIVE_REGULATION_OF_MACROAUTOPHAGY,GO:0016242
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION,GO:0043031
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS,GO:2000110
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GO:0010760
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,GO:0010936
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,GO:0010745
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DIFFERENTIATION,GO:0045650
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_MIGRATION,GO:1905522
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,GO:0043407
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,GO:0043409
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_ACTIVATION,GO:0033004
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0033007
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION,GO:0043305
GOBP_NEGATIVE_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION,GO:1904465
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,GO:0045653
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE,GO:0051447
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION,GO:0045835
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_DEPOLARIZATION,GO:1904180
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,GO:1905709
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL,GO:0045837
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,GO:0051045
GOBP_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS,GO:2001054
GOBP_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION,GO:0072201
GOBP_NEGATIVE_REGULATION_OF_METALLOENDOPEPTIDASE_ACTIVITY,GO:1904684
GOBP_NEGATIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,GO:1905049
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE,GO:1902100
GOBP_NEGATIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,GO:0045347
GOBP_NEGATIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION,GO:1903979
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION,GO:0031115
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,GO:0031111
GOBP_NEGATIVE_REGULATION_OF_MIRNA_MATURATION,GO:1903799
GOBP_NEGATIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,GO:2000629
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,GO:0051902
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_FUSION,GO:0010637
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,GO:1901029
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,GO:0010823
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,GO:0045930
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,GO:1901991
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,GO:0044092
GOBP_NEGATIVE_REGULATION_OF_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION,GO:0071638
GOBP_NEGATIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,GO:0090027
GOBP_NEGATIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION,GO:0045656
GOBP_NEGATIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,GO:0071676
GOBP_NEGATIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY,GO:0032769
GOBP_NEGATIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,GO:1905331
GOBP_NEGATIVE_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS,GO:2000672
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,GO:1903312
GOBP_NEGATIVE_REGULATION_OF_MRNA_PROCESSING,GO:0050686
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH,GO:0040015
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,GO:0051241
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_ADAPTATION,GO:0014745
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS,GO:0010656
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,GO:0051148
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION,GO:0045932
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY,GO:0014741
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT,GO:0048635
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT,GO:1901862
GOBP_NEGATIVE_REGULATION_OF_MYELINATION,GO:0031642
GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,GO:0033033
GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO:0045638
GOBP_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,GO:0002762
GOBP_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,GO:0002887
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION,GO:0045662
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_PROLIFERATION,GO:2000818
GOBP_NEGATIVE_REGULATION_OF_MYOSIN_LIGHT_CHAIN_PHOSPHATASE_ACTIVITY,GO:0035509
GOBP_NEGATIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,GO:0010832
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,GO:0032815
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,GO:0002716
GOBP_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH,GO:0060547
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,GO:0051961
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,GO:0031645
GOBP_NEGATIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,GO:2000178
GOBP_NEGATIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION,GO:0007406
GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE,GO:0150079
GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,GO:0043524
GOBP_NEGATIVE_REGULATION_OF_NEURON_DEATH,GO:1901215
GOBP_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION,GO:0045665
GOBP_NEGATIVE_REGULATION_OF_NEURON_MIGRATION,GO:2001223
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,GO:0010977
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION,GO:0070571
GOBP_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION,GO:0046929
GOBP_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,GO:0051589
GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION,GO:1902564
GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_MIGRATION,GO:1902623
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,GO:0032088
GOBP_NEGATIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,GO:1901223
GOBP_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,GO:1904406
GOBP_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY,GO:0051001
GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,GO:1900226
GOBP_NEGATIVE_REGULATION_OF_NODAL_SIGNALING_PATHWAY,GO:1900108
GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY,GO:2000051
GOBP_NEGATIVE_REGULATION_OF_NOREPINEPHRINE_SECRETION,GO:0010700
GOBP_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,GO:0045746
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION,GO:0051784
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,GO:1900152
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,GO:2000623
GOBP_NEGATIVE_REGULATION_OF_NUCLEASE_ACTIVITY,GO:0032074
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:0045934
GOBP_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,GO:0046823
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO:0030809
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,GO:0045980
GOBP_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,GO:0048715
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH,GO:0046621
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,GO:1902116
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,GO:0010639
GOBP_NEGATIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT,GO:0032891
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION,GO:0030279
GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,GO:0045668
GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION,GO:0033689
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT,GO:2001205
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GO:0045671
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,GO:0090324
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH,GO:1903202
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:1902176
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_DEATH,GO:1903204
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:1903377
GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,GO:0051354
GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,GO:1903753
GOBP_NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,GO:0060394
